119,798301216812
14,6742960115659
3,79791258729016
2,1666549964516
-0,493680763248379
-2,96722899568207
-0,623678599043775
-1,40195576961945
-0,6976575586489
0,777445986298511
-0,0657627900047886
0,563352158658716

141,335801997431
13,8009824597783
5,34096552090997
-0,768763969131491
1,95387902450258
-0,210944218168379
-0,119052285471141
0,639815087287079
-0,261304701647108
0,800506425737807
1,14272817926514
-0,175774288914723

104,722571971751
10,8085975843132
1,43719222053371
-0,539857024327345
2,47941655164247
-0,145492162917692
3,48161020428059
1,66094929435617
-1,83841995532974
0,334532574567945
-2,13919402964407
0,160527848921979

124,873589347185
12,4130473801023
4,46332294523384
2,26148998427415
-2,71037118246073
-2,09198234178776
0,60570641942309
0,226882526948811
0,0157670455517884
2,06780109440316
2,28859539839654
0,59296085001615

150,878736940883
12,1163582883376
3,56602415846992
-0,859275303079567
0,0630069437177951
-0,797887470091634
-1,43538467197914
0,14086934899274
1,95480497770963
0,865381965258655
1,25366164831618
-0,258456039515353

96,6872816939511
9,83966376868102
0,870208504739186
2,9783356104665
3,21713703792497
0,68279560122124
5,37867988125298
1,01899946089681
0,29713891379949
5,03132486840211
0,483923756835245
-0,122707876617131
